LOOKUP COL,RETURN THIS
Gloucester (A),Gloucester (A)
Gold Coast (C),Gold Coast (C)
Golden Plains (S),Golden Plains (S)
GOLDEN PLAINS SHIRE,Golden Plains (S)
Goondiwindi (R),Goondiwindi (R)
Gosford (C),Gosford (C)
Gosnells (C),Gosnells (C)
Goulburn Mulwaree (A),Goulburn Mulwaree (A)
Grant (DC),Grant (DC)
Great Lakes (A),Great Lakes (A)
Greater Bendigo (C),Greater Bendigo (C)
GREATER BENDIGO CITY,Greater Bendigo (C)
Greater Dandenong (C),Greater Dandenong (C)
GREATER DANDENONG CITY,Greater Dandenong (C)
Greater Geelong (C),Greater Geelong (C)
GREATER GEELONG CITY,Greater Geelong (C)
Greater Geraldton (C),Greater Geraldton (C)
Greater Hume Shire (A),Greater Hume Shire (A)
Greater Shepparton (C),Greater Shepparton (C)
GREATER SHEPPARTON CITY,Greater Shepparton (C)
Greater Taree (C),Greater Taree (C)
Griffith (C),Griffith (C)
Gundagai (A),Gundagai (A)
Gunnedah (A),Gunnedah (A)
Guyra (A),Guyra (A)
Gwydir (A),Gwydir (A)
Gympie (R),Gympie (R)
Harden (A),Harden (A)
Harvey (S),Harvey (S)
Hawkesbury (C),Hawkesbury (C)
Hay (A),Hay (A)
Hepburn (S),Hepburn (S)
HEPBURN SHIRE,Hepburn (S)
Hinchinbrook (S),Hinchinbrook (S)
Hindmarsh (S),Hindmarsh (S)
HINDMARSH SHIRE,Hindmarsh (S)
Hobart (C),Hobart (C)
Hobsons Bay (C),Hobsons Bay (C)
HOBSONS BAY CITY,Hobsons Bay (C)
Holdfast Bay (C),Holdfast Bay (C)
Holroyd (C),Holroyd (C)
Hornsby (A),Hornsby (A)
Horsham (RC),Horsham (RC)
HORSHAM RURAL CITY,Horsham (RC)
Hume (C),Hume (C)
HUME CITY,Hume (C)
Hunters Hill (A),Hunters Hill (A)
Huon Valley (M),Huon Valley (M)
Hurstville (C),Hurstville (C)
Indigo (S),Indigo (S)
INDIGO SHIRE,Indigo (S)
Interstate,Interstate
Inverell (A),Inverell (A)
Ipswich (C),Ipswich (C)
Isaac (R),Isaac (R)
Jerilderie (A),Jerilderie (A)
Joondalup (C),Joondalup (C)
Junee (A),Junee (A)
Kalamunda (S),Kalamunda (S)
Kalgoorlie/Boulder (C),Kalgoorlie/Boulder (C)
Kangaroo Island (DC),Kangaroo Island (DC)
Karratha (C),Karratha (C)
Katanning (S),Katanning (S)
Katherine (T),Katherine (T)
Kempsey (A),Kempsey (A)
Kentish (M),Kentish (M)
Kiama (A),Kiama (A)
King Island (M),King Island (M)
Kingborough (M),Kingborough (M)
Kingston (C),Kingston (C)
Kingston (DC),Kingston (DC)
KINGSTON CITY,Kingston (C)
Knox (C),Knox (C)
KNOX CITY,Knox (C)
Kogarah (C),Kogarah (C)
Ku-ring-gai (A),Ku-ring-gai (A)
Kwinana (C),Kwinana (C)
Kyogle (A),Kyogle (A)
Lachlan (A),Lachlan (A)
Lake Macquarie (C),Lake Macquarie (C)
Lane Cove (A),Lane Cove (A)
Latrobe (C),Latrobe (C)
Latrobe (M),Latrobe (M)
LATROBE CITY,Latrobe (M)
Launceston (C),Launceston (C)
Leeton (A),Leeton (A)
Leichhardt (A),Leichhardt (A)
Light (RegC),Light (RegC)
Lismore (C),Lismore (C)
Litchfield (M),Litchfield (M)
Lithgow (C),Lithgow (C)
Liverpool (C),Liverpool (C)
Liverpool Plains (A),Liverpool Plains (A)
Livingstone (S),Livingstone (S)
Lockhart (A),Lockhart (A)
Lockyer Valley (R),Lockyer Valley (R)
Loddon (S),Loddon (S)
LODDON SHIRE,Loddon (S)
Logan (C),Logan (C)
Longreach (R),Longreach (R)
Lower Eyre Peninsula (DC),Lower Eyre Peninsula (DC)
Loxton Waikerie (DC),Loxton Waikerie (DC)
MacDonnell (R),MacDonnell (R)
Macedon Ranges (S),Macedon Ranges (S)
MACEDON RANGES SHIRE,Macedon Ranges (S)
Mackay (R),Mackay (R)
Maitland (C),Maitland (C)
Mallala (DC),Mallala (DC)
Mandurah (C),Mandurah (C)
Manjimup (S),Manjimup (S)
Manly (A),Manly (A)
Manningham (C),Manningham (C)
MANNINGHAM CITY,Manningham (C)
Mansfield (S),Mansfield (S)
MANSFIELD SHIRE,Mansfield (S)
Maranoa (R),Maranoa (R)
Mareeba (S),Mareeba (S)
Maribyrnong (C),Maribyrnong (C)
MARIBYRNONG CITY,Maribyrnong (C)
Marion (C),Marion (C)
Maroondah (C),Maroondah (C)
MAROONDAH CITY,Maroondah (C)
Marrickville (A),Marrickville (A)
Meander Valley (M),Meander Valley (M)
Melbourne (C),Melbourne (C)
MELBOURNE CITY,Melbourne (C)
Melton (C),Melton (C)
MELTON CITY,Melton (C)
Melville (C),Melville (C)
Menzies (S),Menzies (S)
Merredin (S),Merredin (S)
Mid Murray (DC),Mid Murray (DC)
Mid-Western Regional (A),Mid-Western Regional (A)
Mildura (RC),Mildura (RC)
MILDURA RURAL CITY,Mildura (RC)
Mitcham (C),Mitcham (C)
Mitchell (S),Mitchell (S)
MITCHELL SHIRE,Mitchell (S)
Moira (S),Moira (S)
MOIRA SHIRE,Moira (S)
Monash (C),Monash (C)
MONASH CITY,Monash (C)
Moonee Valley (C),Moonee Valley (C)
MOONEE VALLEY CITY,Moonee Valley (C)
Moorabool (S),Moorabool (S)
MOORABOOL SHIRE,Moorabool (S)
Moree Plains (A),Moree Plains (A)
Moreland (C),Moreland (C)
MORELAND CITY,Moreland (C)
Moreton Bay (R),Moreton Bay (R)
Mornington Peninsula (S),Mornington Peninsula (S)
MORNINGTON PENINSULA SHIRE,Mornington Peninsula (S)
Mosman (A),Mosman (A)
Mosman Park (T),Mosman Park (T)
Mount Alexander (S),Mount Alexander (S)
MOUNT ALEXANDER SHIRE,Mount Alexander (S)
Mount Barker (DC),Mount Barker (DC)
Mount Gambier (C),Mount Gambier (C)
Mount Isa (C),Mount Isa (C)
Moyne (S),Moyne (S)
MOYNE SHIRE,Moyne (S)
Mundaring (S),Mundaring (S)
Murray (A),Murray (A)
Murray (S),Murray (S)
Murray Bridge (RC),Murray Bridge (RC)
Murrindindi (S),Murrindindi (S)
MURRINDINDI SHIRE,Murrindindi (S)
Murrumbidgee (A),Murrumbidgee (A)
Murweh (S),Murweh (S)
Muswellbrook (A),Muswellbrook (A)
Nambucca (A),Nambucca (A)
Naracoorte and Lucindale (DC),Naracoorte and Lucindale (DC)
Narembeen (S),Narembeen (S)
Narrabri (A),Narrabri (A)
Narrandera (A),Narrandera (A)
Narromine (A),Narromine (A)
Nedlands (C),Nedlands (C)
Newcastle (C),Newcastle (C)
Nillumbik (S),Nillumbik (S)
NILLUMBIK SHIRE,Nillumbik (S)
Noosa (S),Noosa (S)
North Burnett (R),North Burnett (R)
North Sydney (A),North Sydney (A)
Northam (S),Northam (S)
Northern Areas (DC),Northern Areas (DC)
Northern Grampians (S),Northern Grampians (S)
NORTHERN GRAMPIANS SHIRE,Northern Grampians (S)
Northern Midlands (M),Northern Midlands (M)
Norwood Payneham St Peters (C),Norwood Payneham St Peters (C)
Oberon (A),Oberon (A)
Onkaparinga (C),Onkaparinga (C)
Orange (C),Orange (C)
Orroroo/Carrieton (DC),Orroroo/Carrieton (DC)
Overseas,Overseas
Palerang (A),Palerang (A)
Palmerston (C),Palmerston (C)
Parkes (A),Parkes (A)
Parramatta (C),Parramatta (C)
Penrith (C),Penrith (C)
Perth (C),Perth (C)
Pittwater (A),Pittwater (A)
Playford (C),Playford (C)
Port Adelaide Enfield (C),Port Adelaide Enfield (C)
Port Augusta (C),Port Augusta (C)
Port Hedland (T),Port Hedland (T)
Port Lincoln (C),Port Lincoln (C)
Port Macquarie-Hastings (A),Port Macquarie-Hastings (A)
Port Phillip (C),Port Phillip (C)
PORT PHILLIP CITY,Port Phillip (C)
Port Pirie City and Dists (M),Port Pirie City and Dists (M)
Port Stephens (A),Port Stephens (A)
Prospect (C),Prospect (C)
Pyrenees (S),Pyrenees (S)
PYRENEES SHIRE,Pyrenees (S)
Queanbeyan (C),Queanbeyan (C)
Queenscliffe (B),Queenscliffe (B)
QUEENSCLIFFE BOROUGH,Queenscliffe (B)
Randwick (C),Randwick (C)
Redland (C),Redland (C)
Renmark Paringa (DC),Renmark Paringa (DC)
Richmond Valley (A),Richmond Valley (A)
Rockdale (C),Rockdale (C)
Rockhampton (R),Rockhampton (R)
Rockingham (C),Rockingham (C)
Roper Gulf (R),Roper Gulf (R)
Roxby Downs (M),Roxby Downs (M)
Ryde (C),Ryde (C)
Salisbury (C),Salisbury (C)
Sandstone (S),Sandstone (S)
Scenic Rim (R),Scenic Rim (R)
Serpentine-Jarrahdale (S),Serpentine-Jarrahdale (S)
Shark Bay (S),Shark Bay (S)
Shellharbour (C),Shellharbour (C)
Shoalhaven (C),Shoalhaven (C)
Singleton (A),Singleton (A)
Snowy River (A),Snowy River (A)
Somerset (R),Somerset (R)
Sorell (M),Sorell (M)
South Burnett (R),South Burnett (R)
South Gippsland (S),South Gippsland (S)
SOUTH GIPPSLAND SHIRE,South Gippsland (S)
South Perth (C),South Perth (C)
Southern Downs (R),Southern Downs (R)
Southern Grampians (S),Southern Grampians (S)
SOUTHERN GRAMPIANS SHIRE,Southern Grampians (S)
Southern Mallee (DC),Southern Mallee (DC)
Southern Midlands (M),Southern Midlands (M)
Stirling (C),Stirling (C)
Stonnington (C),Stonnington (C)
STONNINGTON CITY,Stonnington (C)
Strathbogie (S),Strathbogie (S)
STRATHBOGIE SHIRE,Strathbogie (S)
Strathfield (A),Strathfield (A)
Streaky Bay (DC),Streaky Bay (DC)
Subiaco (C),Subiaco (C)
Sunshine Coast (R),Sunshine Coast (R)
Surf Coast (S),Surf Coast (S)
SURF COAST SHIRE,Surf Coast (S)
Sutherland Shire (A),Sutherland Shire (A)
Swan (C),Swan (C)
Swan Hill (RC),Swan Hill (RC)
SWAN HILL RURAL CITY,Swan Hill (RC)
Sydney (C),Sydney (C)
Tablelands (R),Tablelands (R)
Tamworth Regional (A),Tamworth Regional (A)
Tasman (M),Tasman (M)
Tatiara (DC),Tatiara (DC)
Tea Tree Gully (C),Tea Tree Gully (C)
Temora (A),Temora (A)
Tenterfield (A),Tenterfield (A)
The Coorong (DC),The Coorong (DC)
The Hills Shire (A),The Hills Shire (A)
Toowoomba (R),Toowoomba (R)
Torres Strait Island (R),Torres Strait Island (R)
Townsville (C),Townsville (C)
Towong (S),Towong (S)
TOWONG SHIRE,Towong (S)
Tumbarumba (A),Tumbarumba (A)
Tumut Shire (A),Tumut Shire (A)
Tweed (A),Tweed (A)
Unincorporated ACT,Unincorporated ACT
Unincorporated NSW,Unincorporated NSW
Unincorporated NT,Unincorporated NT
Unincorporated Vic,Unincorporated Vic
Unknown,Unknown
Unley (C),Unley (C)
Upper Hunter Shire (A),Upper Hunter Shire (A)
Upper Lachlan Shire (A),Upper Lachlan Shire (A)
Uralla (A),Uralla (A)
Urana (A),Urana (A)
Victor Harbor (C),Victor Harbor (C)
Victoria Daly (R),Victoria Daly (R)
Victoria Park (T),Victoria Park (T)
Vincent (C),Vincent (C)
Wagait (S),Wagait (S)
Wagga Wagga (C),Wagga Wagga (C)
Wakefield (DC),Wakefield (DC)
Wakool (A),Wakool (A)
Walcha (A),Walcha (A)
Walgett (A),Walgett (A)
Walkerville (M),Walkerville (M)
Wangaratta (RC),Wangaratta (RC)
WANGARATTA RURAL CITY,Wangaratta (RC)
Wanneroo (C),Wanneroo (C)
Waratah/Wynyard (M),Waratah/Wynyard (M)
Warren (A),Warren (A)
Warringah (A),Warringah (A)
Warrnambool (C),Warrnambool (C)
WARRNAMBOOL CITY,Warrnambool (C)
Warrumbungle Shire (A),Warrumbungle Shire (A)
Wattle Range (DC),Wattle Range (DC)
Waverley (A),Waverley (A)
Weddin (A),Weddin (A)
Wellington (A),Wellington (A)
Wellington (S),Wellington (S)
WELLINGTON SHIRE,Wellington (S)
Wentworth (A),Wentworth (A)
